t=2024-10-30T20:19:56+0000 lvl=info msg="no configuration paths supplied"
t=2024-10-30T20:19:56+0000 lvl=info msg="using configuration at default config path" path=/home/rcpaffenroth/.config/ngrok/ngrok.yml
t=2024-10-30T20:19:56+0000 lvl=info msg="open config file" path=/home/rcpaffenroth/.config/ngrok/ngrok.yml err=nil
t=2024-10-30T20:19:56+0000 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2024-10-30T20:19:56+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4042 allow_hosts=[]
t=2024-10-30T20:19:56+0000 lvl=info msg="client session established" obj=tunnels.session
t=2024-10-30T20:19:56+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=e3254fb3069f l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:41+0000 lvl=info msg="join connections" obj=join id=cb433a01e780 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=3e2c7e1606a4 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=2b38e15bfc01 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=352ba64750bd l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=dac1312d8bd6 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=d31cd4c37d3b l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=0613a42c5e8a l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=8d887f394d54 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=134a82b9c8a4 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=7ef87e4b5296 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=f9ed63b86725 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=44847c1dd246 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=ea01c617b18f l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=55879bdd2161 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=23b7e58f4c30 l=127.0.0.1:31415 r=130.215.212.234:52861
